trial_type,cs_img,cs_shape,rating_img,rating_type,rating_text,top_instructions_text,left_anchor_text,center_anchor_text,right_anchor_text,trial,us,iti_duration,cs_duration,half,task,pre_ratings_trials.thisRepN,pre_ratings_trials.thisTrialN,pre_ratings_trials.thisN,pre_ratings_trials.thisIndex,habituation_trials.thisRepN,habituation_trials.thisTrialN,habituation_trials.thisN,habituation_trials.thisIndex,acquisition_trials.thisRepN,acquisition_trials.thisTrialN,acquisition_trials.thisN,acquisition_trials.thisIndex,post_form_b_trials.thisRepN,post_form_b_trials.thisTrialN,post_form_b_trials.thisN,post_form_b_trials.thisIndex,post_ratings_trials.thisRepN,post_ratings_trials.thisTrialN,post_ratings_trials.thisN,post_ratings_trials.thisIndex,form_1.started,form_1_next_button.started,form_1.index,form_1.itemText,form_1.type,form_1.font,form_1.markerColor,form_1.response,form_1.rt,form_1_next_button.numClicks,form_1_next_button.timesOn,form_1_next_button.timesOff,fixation_image_ratings.started,fixation_image_ratings.stopped,center.started,left.started,right.started,top_instructions.started,rating_next_button.started,rating_slider.started,rating_next_button.numClicks,rating_next_button.timesOn,rating_next_button.timesOff,rating_slider.response,rating_slider.rt,fixation_image_pre.started,iti_start,fixation_image_hab.started,iti_end,iti_dur,cs_onset,cs_offset,cs_dur,expectancy_response.keys,shock_begin,shock_end,shock_dur,fixation_image_post.started,form_2a.started,form_2a_next_button.started,form_2a.index,form_2a.itemText,form_2a.type,form_2a.font,form_2a.markerColor,form_2a.response,form_2a.rt,form_2a_next_button.numClicks,form_2a_next_button.timesOn,form_2a_next_button.timesOff,form_2b.started,form_2b_next_button.started,form_2b.index,form_2b.itemText,form_2b.type,form_2b.font,form_2b.markerColor,form_2b.response,form_2b.rt,form_2b_next_button.numClicks,form_2b_next_button.timesOn,form_2b_next_button.timesOff,,date,expName,psychopyVersion,frameRate,
CS-,stimuli/aligned.png,,,,,,,,,3,0,12.5,8,2,habituation,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.01140319998376,226.98189679998904,55.5013652999769,12.489963400003035,55.50137509999331,63.53329220000887,8.031916800013278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS+,stimuli/rotated.png,,,,,,,,,4,0,15,8,2,habituation,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.53363199997693,247.5041223000153,78.51163149997592,14.97800040000584,78.51164199999766,86.51017540000612,7.998517700005323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS+,stimuli/rotated.png,,,,,,,,,1,1,11.5,8,1,acquisition,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.52556540002115,270.49768450000556,98.0152549999766,11.489690300018992,98.01526499999454,105.94442509999499,7.929139900021255,None,105.51282379997429,105.9444159999839,0.4315885999822058,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS+,stimuli/rotated.png,,,,,,,,,2,1,11,8,1,acquisition,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.94479989999672,289.90112059999956,117.00122079998255,11.056422399997246,117.0012304999982,124.94077980000293,7.93953060003696,None,124.51549959997647,124.94077099999413,0.4252682999940589,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS-,stimuli/aligned.png,,,,,,,,,3,0,12.5,8,1,acquisition,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.94118249998428,308.9038008999778,137.5067530000233,12.565572099993005,137.50676319998456,145.50529190001544,7.998514600039925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS-,stimuli/aligned.png,,,,,,,,,4,0,9,8,1,acquisition,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.50561160000507,329.47615509998286,154.5056294000242,9.000019200029783,154.50563939998392,162.52086459996644,8.0152095000376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS+,stimuli/rotated.png,,,,,,,,,5,1,10.5,8,1,acquisition,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5211790999747,346.4917158000171,173.00735769997118,10.486180000007153,173.00736789999064,180.93022829998517,7.92284130002372,None,180.50492809998104,180.93021979997866,0.4252880999702029,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS+,stimuli/rotated.png,,,,,,,,,6,0,12,8,1,acquisition,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.93053979997057,364.89322610001545,193.0119391999906,12.081400999973994,193.01194890000625,201.01047859998653,7.998514799983241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS-,stimuli/aligned.png,,,,,,,,,7,0,15,8,1,acquisition,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.01079109997954,384.9812889000168,216.00551869999617,14.994729599973653,216.00552960002096,224.02074459998403,8.015199799963739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS-,stimuli/aligned.png,,,,,,,,,8,0,14.5,8,1,acquisition,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.02106739999726,407.99156200001016,238.51482909999322,14.49376330000814,238.5148395000142,246.53005920001306,8.015204199997243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS+,stimuli/rotated.png,,,,,,,,,9,1,9.5,8,2,acquisition,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.53038840001682,430.5008905000286,256.01465650001774,9.484270800021477,256.0146682999912,263.93752859998494,7.9228417000267655,None,263.51222699997015,263.9375200999784,0.425289899983909,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS-,stimuli/aligned.png,,,,,,,,,10,0,14,8,2,acquisition,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.93783309997525,447.90052869997453,278.0063297000015,14.068498499982525,278.0063398000202,286.0215656000073,8.0152262999909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS+,stimuli/rotated.png,,,,,,,,,11,1,10,8,2,acquisition,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0218923999928,469.99238820001483,296.00711409997893,9.985223399999086,296.00712439999916,303.9300790000125,7.922935399983544,None,303.50470579997636,303.9300702000037,0.42536009999457747,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS+,stimuli/rotated.png,,,,,,,,,12,1,13.5,8,2,acquisition,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.9303939999663,487.89298340003006,317.514535699971,13.584143100015353,317.5145457999897,325.4373912999872,7.9228254000190645,None,325.01210930000525,325.4373861000058,0.42526920000091195,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS-,stimuli/aligned.png,,,,,,,,,13,0,13,8,2,acquisition,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.43765769997844,509.40039770002477,338.50431260000914,13.066656999988481,338.5043230999727,346.51954740000656,8.015209299977869,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS-,stimuli/aligned.png,,,,,,,,,14,0,10,8,2,acquisition,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.51987339998595,530.4903650999768,356.50509240000974,9.98522019997472,356.50510269997176,364.520329699968,8.015211799996905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS+,stimuli/rotated.png,,,,,,,,,15,0,9.5,8,2,acquisition,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.5206685999874,548.491145899985,374.00491850002436,9.484250899986364,374.00492829998257,382.0034635000047,7.998527099960484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS-,stimuli/aligned.png,,,,,,,,,16,0,9,8,2,acquisition,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.0037895999849,565.9742743999814,391.0038010000135,9.000012599979527,391.00381119997473,399.019042800006,8.01521679997677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.9898610999808,597.9849418000085,611.644153100031,0,Please answer the following question using the mouse:,heading,None,None,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Did you receive electrical stimulations in the course of the last phase of the experiment? 
",choice,None,None,1.0,13.631985899992287,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,[1.4363597000483423],[1.4363623000099324],613.0969139999943,636.7083240000065,0,Please answer the following questions using the keyboard and mouse:,heading,None,None,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Please rate the last electrical stimulation you received during the last phase of the experiment:  


",radio,None,None,6.0,5.589111200009938,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Please try to estimate, as accurately as possible, how many electrical stimulations you received in the last phase of the experiment (numbers only)",free text,None,None,6,None,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,[7.514384399983101],[7.514387200004421],,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS-,stimuli/aligned.png,square,assets/valence_scale_clean.png,valence,← FEELING? →,Please indicate how you feel right now when you are looking at the square:,very uncomfortable,None,very comfortable,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,644.2561575000291,644.2561575000291,644.2561575000291,644.2561575000291,644.2561575000291,644.2561575000291,644.2561575000291,644.2561575000291,7,"[0.02675459999591112, 16.337183800002094, 8.22843690001173, 13.508940099971369, 12.114888900017831, 18.627008699986618, 4.919554300024174]","[0.026758199965115637, 0.04540860000997782, 0.030019800004083663, 0.05770800000755116, 0.0913859999855049, 18.627013199962676, 4.919556699984241]",7.0,3.96399299998302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS-,stimuli/aligned.png,square,assets/arousal_scale_clean.png,arousal,← AROUSAL? →,Please indicate how you feel right now when you are looking at the square:,calm and relaxed,None,very excited,2,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,649.2320540000219,649.2320540000219,649.2320540000219,649.2320540000219,649.2320540000219,649.2320540000219,649.2320540000219,649.2320540000219,8,"[0.02675459999591112, 16.337183800002094, 8.22843690001173, 13.508940099971369, 12.114888900017831, 18.627008699986618, 4.919554300024174, 15.733212199993432]","[0.026758199965115637, 0.04540860000997782, 0.030019800004083663, 0.05770800000755116, 0.0913859999855049, 18.627013199962676, 0.00016310001956298947, 15.733214600011706]",3.0,13.973097100039013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS-,stimuli/aligned.png,square,None,anxiety,← ANXIETY? →,Please indicate how you feel right now when you are looking at the square:,not anxious at all,None,very anxious,3,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,664.9952635000227,664.9952635000227,664.9952635000227,664.9952635000227,664.9952635000227,664.9952635000227,664.9952635000227,664.9952635000227,9,"[0.02675459999591112, 16.337183800002094, 8.22843690001173, 13.508940099971369, 12.114888900017831, 18.627008699986618, 4.919554300024174, 15.733212199993432, 4.484101800015196]","[0.026758199965115637, 0.04540860000997782, 0.030019800004083663, 0.05770800000755116, 0.0913859999855049, 18.627013199962676, 0.00016310001956298947, 0.040634999983012676, 4.484104300034232]",2.0,3.4612739000003785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS+,stimuli/rotated.png,diamond,assets/valence_scale_clean.png,valence,← FEELING? →,Please indicate how you feel right now when you are looking at the diamond:,very uncomfortable,None,very comfortable,4,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,669.5539088000078,669.5539088000078,669.5539088000078,669.5539088000078,669.5539088000078,669.5539088000078,669.5539088000078,669.5539088000078,10,"[0.02675459999591112, 16.337183800002094, 8.22843690001173, 13.508940099971369, 12.114888900017831, 18.627008699986618, 4.919554300024174, 15.733212199993432, 4.484101800015196, 5.40909869997995]","[0.026758199965115637, 0.04540860000997782, 0.030019800004083663, 0.05770800000755116, 0.0913859999855049, 18.627013199962676, 0.00016310001956298947, 0.040634999983012676, 4.484104300034232, 5.409102399949916]",4.0,4.4718588999821804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS+,stimuli/rotated.png,diamond,assets/arousal_scale_clean.png,arousal,← AROUSAL? →,Please indicate how you feel right now when you are looking at the diamond:,calm and relaxed,None,very excited,5,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,674.9975491000223,674.9975491000223,674.9975491000223,674.9975491000223,674.9975491000223,674.9975491000223,674.9975491000223,674.9975491000223,11,"[0.02675459999591112, 16.337183800002094, 8.22843690001173, 13.508940099971369, 12.114888900017831, 18.627008699986618, 4.919554300024174, 15.733212199993432, 4.484101800015196, 5.40909869997995, 3.8764886000426486]","[0.026758199965115637, 0.04540860000997782, 0.030019800004083663, 0.05770800000755116, 0.0913859999855049, 18.627013199962676, 0.00016310001956298947, 0.040634999983012676, 4.484104300034232, 0.00016310001956298947, 3.876491100003477]",5.0,2.936201800010167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
CS+,stimuli/rotated.png,diamond,None,anxiety,← ANXIETY? →,Please indicate how you feel right now when you are looking at the diamond:,not anxious at all,None,very anxious,6,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,678.8882621999946,678.8882621999946,678.8882621999946,678.8882621999946,678.8882621999946,678.8882621999946,678.8882621999946,678.8882621999946,12,"[0.02675459999591112, 16.337183800002094, 8.22843690001173, 13.508940099971369, 12.114888900017831, 18.627008699986618, 4.919554300024174, 15.733212199993432, 4.484101800015196, 5.40909869997995, 3.8764886000426486, 3.249154799967073]","[0.026758199965115637, 0.04540860000997782, 0.030019800004083663, 0.05770800000755116, 0.0913859999855049, 18.627013199962676, 0.00016310001956298947, 0.040634999983012676, 4.484104300034232, 0.00016310001956298947, 0.0924966000020504, 3.249159300001338]",5.0,2.56238909997046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h16.38.371,acquisition,2022.2.4,59.89228970876929,
