trial_type,us,iti_duration,cs_duration,cs_img,trial,half,task,cs_shape,rating_img,rating_type,rating_text,top_instructions_text,left_anchor_text,center_anchor_text,right_anchor_text,extinction_trials.thisRepN,extinction_trials.thisTrialN,extinction_trials.thisN,extinction_trials.thisIndex,post_form_c_trials.thisRepN,post_form_c_trials.thisTrialN,post_form_c_trials.thisN,post_form_c_trials.thisIndex,post_ratings_trials.thisRepN,post_ratings_trials.thisTrialN,post_ratings_trials.thisN,post_ratings_trials.thisIndex,fixation_image_pre.started,iti_start,fixation_image_hab.started,iti_end,iti_dur,cs_onset,cs_offset,cs_dur,expectancy_response.keys,fixation_image_post.started,form_3a.started,form_3a_next_button.started,form_3a.index,form_3a.itemText,form_3a.type,form_3a.font,form_3a.markerColor,form_3a.response,form_3a.rt,form_3a_next_button.numClicks,form_3a_next_button.timesOn,form_3a_next_button.timesOff,form_3b.started,form_3b_next_button.started,form_3b.index,form_3b.itemText,form_3b.type,form_3b.font,form_3b.markerColor,form_3b.response,form_3b.rt,form_3b_next_button.numClicks,form_3b_next_button.timesOn,form_3b_next_button.timesOff,form_3c.started,form_3c_next_button.started,form_3c.index,form_3c.itemText,form_3c.type,form_3c.font,form_3c.markerColor,form_3c.response,form_3c.rt,form_3c_next_button.numClicks,form_3c_next_button.timesOn,form_3c_next_button.timesOff,form_3d.started,form_3d_next_button.started,form_3d.index,form_3d.itemText,form_3d.type,form_3d.font,form_3d.markerColor,form_3d.response,form_3d.rt,form_3d_next_button.numClicks,form_3d_next_button.timesOn,form_3d_next_button.timesOff,fixation_image_ratings.started,fixation_image_ratings.stopped,center.started,left.started,right.started,top_instructions.started,rating_slider.started,rating_next_button.started,rating_slider.response,rating_slider.rt,rating_next_button.numClicks,rating_next_button.timesOn,rating_next_button.timesOff,,date,expName,psychopyVersion,frameRate,
CS-,0,9,8,stimuli/aligned.png,11,1,extinction,,,,,,,,,0,10,10,10,,,,,,,,,,210.51597210002365,219.896225399978,219.5160118000349,9.000040300015826,219.5160211000475,227.51453000004403,7.998507799988147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,9.5,8,stimuli/aligned.png,12,1,extinction,,,,,,,,,0,11,11,11,,,,,,,,,,227.51485080004204,236.89510530000553,237.01582150004106,9.500971800007392,237.01583080005366,245.0310790000367,8.01523309998447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,12,8,stimuli/rotated.png,13,1,extinction,,,,,,,,,0,12,12,12,,,,,,,,,,245.0313812000095,254.4116350999684,257.00371290004114,11.972335099999327,257.0037252000184,265.0022633000044,7.998521500034258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,11,8,stimuli/aligned.png,14,1,extinction,,,,,,,,,0,13,13,13,,,,,,,,,,265.0025653000339,274.38282070000423,276.0063999000122,11.00383470003726,276.0064224000089,284.00492630002555,7.998489100020379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,12.5,8,stimuli/rotated.png,15,1,extinction,,,,,,,,,0,14,14,14,,,,,,,,,,284.0052690000157,293.38550079998095,296.511911300011,12.506643000000622,296.51192100002663,304.5104862000444,7.998550200019963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,13,8,stimuli/aligned.png,16,1,extinction,,,,,,,,,0,15,15,15,,,,,,,,,,304.5108031000127,313.89103960001376,317.5016875000438,12.99088599998504,317.501697300002,325.5169267000165,8.015214499959257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,15,8,stimuli/rotated.png,17,1,extinction,,,,,,,,,0,16,16,16,,,,,,,,,,325.5172516000457,334.8975107999868,340.5119669000269,14.99471659999108,340.51197610003874,348.5105077000335,7.998518000007607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,10.5,8,stimuli/aligned.png,18,1,extinction,,,,,,,,,0,17,17,17,,,,,,,,,,348.51081170002,357.891082999995,359.0136993000051,10.502889099996537,359.01370870001847,367.0122437000391,7.998520600027405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,9.5,8,stimuli/rotated.png,19,1,extinction,,,,,,,,,0,18,18,18,,,,,,,,,,367.01256160001503,376.39280949998647,376.51352770003723,9.500967299973127,376.5135381,384.51209250005195,7.998548700008541,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,9,8,stimuli/rotated.png,20,1,extinction,,,,,,,,,0,19,19,19,,,,,,,,,,384.5124225000036,393.89264340000227,393.51241200004006,8.99999049998587,393.5124209000496,401.5109550000052,7.9985342000145465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
