delivery_order,shock_level,rating,final_shock_level,part1_final_level
11,5.4,9,4.59,6.0
1,5.4,8,4.59,6.0
5,4.800000000000001,8,4.59,6.0
9,4.800000000000001,7,4.59,6.0
13,4.199999999999999,7,4.59,6.0
2,3.5999999999999996,7,4.59,6.0
14,3.5999999999999996,7,4.59,6.0
4,6.0,6,4.59,6.0
8,6.0,5,4.59,6.0
3,3.0,5,4.59,6.0
7,4.199999999999999,4,4.59,6.0
6,3.0,2,4.59,6.0
12,2.4000000000000004,2,4.59,6.0
10,2.4000000000000004,1,4.59,6.0
