trial_type,us,iti_duration,cs_duration,cs_img,trial,half,task,cs_shape,rating_img,rating_type,rating_text,top_instructions_text,left_anchor_text,center_anchor_text,right_anchor_text,extinction_trials.thisRepN,extinction_trials.thisTrialN,extinction_trials.thisN,extinction_trials.thisIndex,post_form_c_trials.thisRepN,post_form_c_trials.thisTrialN,post_form_c_trials.thisN,post_form_c_trials.thisIndex,post_ratings_trials.thisRepN,post_ratings_trials.thisTrialN,post_ratings_trials.thisN,post_ratings_trials.thisIndex,fixation_image_pre.started,iti_start,fixation_image_hab.started,iti_end,iti_dur,cs_onset,cs_offset,cs_dur,expectancy_response.keys,fixation_image_post.started,form_3a.started,form_3a_next_button.started,form_3a.index,form_3a.itemText,form_3a.type,form_3a.font,form_3a.markerColor,form_3a.response,form_3a.rt,form_3a_next_button.numClicks,form_3a_next_button.timesOn,form_3a_next_button.timesOff,form_3b.started,form_3b_next_button.started,form_3b.index,form_3b.itemText,form_3b.type,form_3b.font,form_3b.markerColor,form_3b.response,form_3b.rt,form_3b_next_button.numClicks,form_3b_next_button.timesOn,form_3b_next_button.timesOff,form_3c.started,form_3c_next_button.started,form_3c.index,form_3c.itemText,form_3c.type,form_3c.font,form_3c.markerColor,form_3c.response,form_3c.rt,form_3c_next_button.numClicks,form_3c_next_button.timesOn,form_3c_next_button.timesOff,form_3d.started,form_3d_next_button.started,form_3d.index,form_3d.itemText,form_3d.type,form_3d.font,form_3d.markerColor,form_3d.response,form_3d.rt,form_3d_next_button.numClicks,form_3d_next_button.timesOn,form_3d_next_button.timesOff,fixation_image_ratings.started,fixation_image_ratings.stopped,center.started,left.started,right.started,top_instructions.started,rating_slider.started,rating_next_button.started,rating_slider.response,rating_slider.rt,rating_next_button.numClicks,rating_next_button.timesOn,rating_next_button.timesOff,,date,expName,psychopyVersion,frameRate,
CS-,0,14,8,stimuli/rotated.png,1,1,extinction,,,,,,,,,0,0,0,0,,,,,,,,,12.386893300048541,5.021433799993247,17.396391000016592,19.00224060000619,13.980806999956258,19.00225010002032,27.00079989997903,7.998533000005409,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_15h09.49.252,extinction,2022.2.4,59.8870888873509,
CS+,0,13.5,8,stimuli/aligned.png,2,1,extinction,,,,,,,,,0,1,1,1,,,,,,,,,,27.001179400016554,39.38807690003887,40.509680600021966,13.508503000019118,40.50969099998474,48.52491719997488,8.015207400021609,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_15h09.49.252,extinction,2022.2.4,59.8870888873509,
CS+,0,13,8,stimuli/aligned.png,3,1,extinction,,,,,,,,,0,2,2,2,,,,,,,,,,48.52525880001485,60.91220960003557,61.51616569998441,12.990909399988595,61.51617650000844,69.53142100002151,8.015229300013743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_15h09.49.252,extinction,2022.2.4,59.8870888873509,
CS-,0,12.5,8,stimuli/rotated.png,4,1,extinction,,,,,,,,,0,3,3,3,,,,,,,,,,69.53173119999701,81.91869449999649,82.00500569998985,12.473274799995124,82.00501470000017,90.00356639997335,7.9985362000297755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_15h09.49.252,extinction,2022.2.4,59.8870888873509,
CS+,0,9.5,8,stimuli/aligned.png,5,1,extinction,,,,,,,,,0,4,4,4,,,,,,,,,,90.00387969997246,102.39084820001153,99.50484680000227,9.500968299980741,99.50485590001335,107.50338140001986,7.998524199996609,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_15h09.49.252,extinction,2022.2.4,59.8870888873509,
CS-,0,11,8,stimuli/rotated.png,6,1,extinction,,,,,,,,,0,5,5,5,,,,,,,,,,107.50370559998555,119.89067800005432,118.50753190001706,11.00382779998472,118.50754149997374,126.50608510000166,7.998527899966575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_15h09.49.252,extinction,2022.2.4,59.8870888873509,
CS+,0,10,8,stimuli/aligned.png,7,1,extinction,,,,,,,,,0,6,6,6,,,,,,,,,,126.50637339998502,138.89336740004364,136.5083183000097,10.00194589997409,136.50832720001927,144.5235630000243,8.015219799999613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_15h09.49.252,extinction,2022.2.4,59.8870888873509,
CS-,0,11.5,8,stimuli/rotated.png,8,1,extinction,,,,,,,,,0,7,7,7,,,,,,,,,,144.52386199997272,156.91085490002297,156.01197579997825,11.488115200016182,156.01198579999618,164.01051089999964,7.9985155000467785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_15h09.49.252,extinction,2022.2.4,59.8870888873509,
CS-,0,9,8,stimuli/rotated.png,9,1,extinction,,,,,,,,,0,8,8,8,,,,,,,,,,164.01086839998607,176.3977928000386,173.01087779999943,9.000010499963537,173.01088660000823,181.0094047000166,7.99850059999153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_15h09.49.252,extinction,2022.2.4,59.8870888873509,
CS+,0,15,8,stimuli/aligned.png,10,1,extinction,,,,,,,,,0,9,9,9,,,,,,,,,,181.00972069997806,193.39668200002052,196.00444280001102,14.994723599986173,196.00445230002515,204.00297939998563,7.998511600017082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_15h09.49.252,extinction,2022.2.4,59.8870888873509,
CS+,0,10.5,8,stimuli/aligned.png,11,1,extinction,,,,,,,,,0,10,10,10,,,,,,,,,,204.00330610002857,216.39027010003338,214.50617820001207,10.502873999997973,214.50618859997485,222.5214188999962,8.015215199964587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_15h09.49.252,extinction,2022.2.4,59.8870888873509,
CS-,0,12,8,stimuli/rotated.png,12,1,extinction,,,,,,,,,0,11,11,11,,,,,,,,,,222.52172259998042,234.9087074000272,234.51075090002269,11.989029299991671,234.51076009997632,242.50931950000813,7.998543199966662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_15h09.49.252,extinction,2022.2.4,59.8870888873509,
