calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,part1_final_value,random_shock_percentages,shock_counter_text_first.started,rating_resp.started,rating_shock_counter.started,rating_resp.keys,rating_resp.rt,fixation.started,fixation.stopped,shock_counter_text.started,part2_final_shock_value,final_shock_text_2.started,final_shock_key_resp.started,final_shock_key_resp.keys,final_shock_key_resp.rt,final_shock_text.started,,date,expName,psychopyVersion,frameRate,
,,,,7.0,[ 90  60  50 100  80  50  70 100  80  40  90  40  70  60],14.249185099964961,2.8699985705316067e-05,28.025265700009186,4,5.130499000020791,,,,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
0,0,0,0,,,,1.6499951016157866e-05,46.71069069998339,3,4.631621899956372,51.352813599980436,33.66931069997372,33.66931069997372,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
1,0,1,0,,,,3.1100003980100155e-05,60.019238999986555,3,4.865322199999355,64.89514019998023,,51.85376329999417,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
2,0,2,0,,,,1.729995710775256e-05,75.49858879996464,8,4.9824334000004455,80.49136749998434,,65.39609090000158,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
3,0,3,0,,,,1.6300007700920105e-05,90.49365489999764,7,6.468679300043732,96.97260290000122,,80.99231199995847,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
4,0,4,0,,,,2.069998299703002e-05,111.96803089999594,4,4.999095699982718,116.97717659996124,,97.47355319996132,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
5,0,5,0,,,,1.4899997040629387e-05,128.7661804999807,6,4.231212200014852,133.0075436999905,,117.47812320000958,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
6,0,6,0,,,,1.479999627918005e-05,142.40870289999293,7,6.101310600002762,148.52028379996773,,133.50850930000888,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
7,0,7,0,,,,1.650000922381878e-05,159.17381539999042,5,3.6466097999946214,162.8307383999927,,149.02123740001116,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
8,0,8,0,,,,1.6900012269616127e-05,174.63646969996626,1,4.815841500007082,179.46226509998087,179.96321129996795,163.3316874000011,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
9,0,9,0,,,,1.479999627918005e-05,189.39776439999696,7,4.095688200031873,193.50555259996327,,179.96321129996795,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
10,0,10,0,,,,1.939997309818864e-05,203.741618799977,1,3.5796411000192165,207.3317551999935,,194.00649770000018,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
11,0,11,0,,,,2.0899984519928694e-05,216.53252869995777,5,5.316308400011621,221.85928739997325,,207.83270619995892,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
12,0,12,0,,,,1.9099970813840628e-05,230.15835439995863,3,3.7464913000003435,233.91547659999924,,222.36024079995696,,,,,,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
,,,,,,,,,,,234.4164257000084,,,5.95,234.93405879999045,234.93405879999045,space,32.278075300040655,,,2024-03-14_14h53.41.418,calibrate_shock_part-2,2022.2.4,59.88257029175238,
,,,,,,,,,,,,,,5.95,,,,,267.6460895999917,,,,,,
